flu_speech_rate,flu_pause_ratio,lex_MSTTR,lexical_advanced,pron_bad,pron_good,pron_neutral
2.290862291,0.078249678,0.66,31.54362416,15.730337079,136.51685392,10.6741573
1.620814673,0.077628492,0.726666667,31.2,43.421052636,105.92105263,11.84210526
2.16006216,0.098679099,0.756,39.91769547,37.41007195,108.99280576,11.8705036
1.753187614,0.190801457,0.72,33.884297520000004,49.35064935,95.45454546,14.28571429
2.177068215,0.193862741,0.74,24.712643677,39.52380952,103.8095238,10.95238095
1.045958796,0.055784469,0.76,17.54385965,95.45454546,37.87878788,16.66666667
1.564639155,0.081752396,0.713333333,27.972027973000003,55.625,93.125,11.25
2.188476999,0.095131755,0.8,39.436619725,9.183673469,165.306122446,8.163265306
1.991668836,0.085915126,0.713333333,28.571428569,36.60130719,97.38562091,15.03267974
2.013356904,0.084462777,0.735,20.967741938,48.78048781,91.21951219,14.63414634
2.456968351,0.01332593,0.753333333,29.054054054,53.672316390000006,103.38983051,6.214689266
1.79758936,0.036990856,0.74,20.279720279,48.5549133,89.59537571,15.02890173
1.467293907,0.178091398,0.79,36.84210526,81.67938932000001,64.88549617,13.74045802
1.788685524,0.068219634,0.726666667,38.732394371,51.74418605,76.16279071,19.18604651
2.104046243,0.118034682,0.766666667,45.138888884,52.1978022,85.16483517,16.48351648
1.205706397,0.244270594,0.75,22.115384616,43.51145038,109.16030535,8.396946565
0.9454349,0.1408698,0.76,29.999999999,55.71428571,87.14285713,12.85714286
2.020481594,0.097425962,0.8,30.769230769,45.89041096,84.24657535,14.38356164
1.248688353,0.177964323,0.72,39.080459773,63.02521009,89.91596639,8.403361345
1.12716763,0.097398844,0.8,23.809523811,50.0,88.46153847,15.38461538
1.741908885,0.155844156,0.773333333,21.126760562,86.39053254,51.47928994,11.83431953
1.144549384,0.112694093,0.74,23.255813952,78.32167833,69.23076922,11.88811189
1.701637666,0.10542477,0.79,36.363636367,84.21052632,54.88721805,16.54135338
2.139979859,0.136455186,0.78,28.873239435,49.41176471,92.94117648,13.52941176
2.191761759,0.051489006,0.733333333,21.77121771,37.460317469,109.2063492,13.65079365
1.728212703,0.11225997,0.86,43.877551021,52.13675213,99.14529914,7.692307692
1.838934686,0.164235891,0.71,27.27272727,28.44827586,124.13793104,7.75862069
1.15255658,0.119865884,0.8,21.978021974,48.18181818,96.36363636,10.0
1.964912281,0.084736842,0.76,37.837837841,38.83928572,101.33928572,14.73214286
1.416375631,0.064027939,0.66,28.571428576,26.027397261,109.58904109,16.43835616
1.53899965,0.005596362,0.72,28.965517239,51.704545450000005,92.04545455,11.93181818
1.874821785,0.142999715,0.868,62.50000001000001,21.673003802,144.86692014,6.08365019
2.326196141,0.133227597,0.833333333,31.386861311,28.977272733,116.47727272,13.63636364
2.358490566,0.188679245,0.82,32.17391305,43.571428569,105.71428572,13.57142857
2.2172949,0.136733186,0.83,40.44943820300001,25.0,139.99999999300002,10.83333333
1.764090949,0.168830037,0.85,39.86928105,26.172839506000003,131.60493828,7.901234568
2.407786885,0.151127049,0.833333333,33.783783798,36.702127651,124.46808511,7.978723404
1.921223801,0.150264996,0.87,34.959349597000006,25.391849525,134.48275863,8.150470219
1.559143085,0.1092014,0.872,48.28496041300001,33.858267708,117.71653544,9.645669291
2.382392981,0.175313871,0.836666667,29.133858266,10.793650794,162.22222223,6.031746032
1.920546142,0.135877611,0.802222222,37.270341209,26.124197001,127.40899357,11.13490364
1.950653733,0.146562632,0.793333333,24.836601302,21.081081082,149.72972973,5.405405405
2.000250815,0.160772511,0.883333333,40.08620690400001,17.868338558999998,147.64890281,7.210031348
1.734620887,0.11462804,0.773333333,22.151898738,38.65979382,106.18556701,11.34020619
1.76217765,0.154512894,0.865,33.165829145000004,20.325203253,143.90243902,7.317073171
2.254605444,0.188067088,0.9,30.37037037,12.19512195,159.75609755,6.707317073
1.973922492,0.191053966,0.88,47.39884392799999,38.0733945,111.92660551,9.633027523
2.164338744,0.097017743,0.77,19.377162633,28.488372096,121.80232559,10.1744186
2.447306792,0.207494145,0.91,38.60759494,55.980861252,101.4354067,9.090909091
2.02970297,0.145214521,0.72,25.77319588,24.390243903,144.71544716,4.87804878
2.11006077,0.007258609,0.728,30.487804874,32.0,118.8,12.4
1.952894995,0.173503435,0.833333333,52.830188675,18.592964824,148.74371858,5.025125628
1.957494407,0.126957494,0.856,35.294117647,22.857142857,128.57142857,9.642857143
