iter	RMSE
0	0.5992702864
1	0.5901091898
2	0.5828956965
3	0.5764094096
4	0.5680328217
5	0.5625423774
6	0.5549187999
7	0.5461907547
8	0.5383339295
9	0.5313612151
10	0.5246470455
11	0.5192491487
12	0.5135333033
13	0.507435545
14	0.5056359432
15	0.498456668
16	0.4948371861
17	0.4903891231
18	0.4868031471
19	0.4815570199
20	0.4747300194
21	0.4700688049
22	0.4665756392
23	0.4628624861
24	0.4589313541
25	0.454116371
26	0.4472188476
27	0.4399994898
28	0.4351448953
29	0.4315472431
30	0.4268316167
31	0.4232093328
32	0.419524022
33	0.4152871165
34	0.4105901544
35	0.4080056142
36	0.4044606214
37	0.3990556177
38	0.3956753473
39	0.3937553392
40	0.3912346326
41	0.3879277191
42	0.386146455
43	0.3831502555
44	0.3792572917
45	0.3759768532
46	0.3724776538
47	0.3703191213
48	0.3692510842
49	0.3663775381
50	0.3639613754
51	0.3613001606
52	0.3587256753
53	0.3564195751
54	0.3516105006
55	0.3500448043
56	0.3475940433
57	0.345371585
58	0.3422128937
59	0.338879255
60	0.3354290045
61	0.3327882833
62	0.3296789556
63	0.3264593181
64	0.3244137883
65	0.3226545942
66	0.3209538621
67	0.3180800964
68	0.3146563135
69	0.3106792383
70	0.3085101736
71	0.3070917364
72	0.3050079966
73	0.3026215621
74	0.3000438279
75	0.2989252604
76	0.2980687006
77	0.2951883687
78	0.2931638612
79	0.2922981903
80	0.289641127
81	0.2882969868
82	0.28639077
83	0.2834129006
84	0.281637498
85	0.2794155778
86	0.2784565146
87	0.2755622352
88	0.2728785903
89	0.2696208198
90	0.2660399493
91	0.2642326175
92	0.2632026714
93	0.2604300188
94	0.25964867
95	0.2580160724
96	0.2554608004
97	0.2523990671
98	0.2500172395
99	0.2490837464
100	0.248372522
101	0.2459472569
102	0.2434251192
103	0.240855331
104	0.2399701861
105	0.2374521454
106	0.234934715
107	0.2342459717
108	0.2332512315
109	0.2306458873
110	0.2296588919
111	0.2272347576
112	0.2266018163
113	0.2258418201
114	0.2230816151
115	0.2204216772
116	0.219687899
117	0.2189956381
118	0.2183885331
119	0.2166454244
120	0.2144390149
121	0.2133097785
122	0.2121472169
123	0.2114745958
124	0.2106676297
125	0.2098826027
126	0.2080367397
127	0.2066298571
128	0.2046907428
129	0.2020881972
130	0.2014553082
131	0.1990491203
132	0.1984573088
133	0.1978753262
134	0.1954460105
135	0.1947714937
136	0.1941149717
137	0.1924334015
138	0.1919020587
139	0.191279629
140	0.1907720368
141	0.1902757589
142	0.1889076725
143	0.1866557777
144	0.1844272751
145	0.1826339309
146	0.1812399139
147	0.1806742188
148	0.1802039724
149	0.1788728711
150	0.178412391
151	0.1779622045
152	0.1759253013
153	0.1738295465
154	0.171958787
155	0.170220474
156	0.1681071042
157	0.1662535037
158	0.1642394759
159	0.1624815126
160	0.1620619902
161	0.1616518519
162	0.1594889094
163	0.1590896564
164	0.1586993588
165	0.1575407574
166	0.1571584993
167	0.1567848455
168	0.1550782263
169	0.1530264537
170	0.1526605597
171	0.1509774659
172	0.1491769411
173	0.1488192587
174	0.1484696354
175	0.1468432348
176	0.1451072528
177	0.1447619373
178	0.1444244084
179	0.1427230069
180	0.1423929114
181	0.1420675012
182	0.140552261
183	0.1402400959
184	0.1388134262
185	0.1372264287
186	0.1356522947
187	0.1342367582
188	0.1325735696
189	0.1310116535
190	0.1307144445
191	0.1304212602
192	0.128935966
193	0.1275445452
194	0.1272623514
195	0.1269865674
196	0.1256933145
197	0.1254216953
198	0.1240245809
199	0.1227254271
200	0.1214528297
201	0.1205684059
202	0.1203095537
203	0.119478208
204	0.1178204615
205	0.1175702854
206	0.1157521024
207	0.1145832825
208	0.1143431276
209	0.1135792328
210	0.1133462393
211	0.111960199
212	0.1117333233
213	0.1102333126
214	0.1100125862
215	0.1089676612
216	0.1082334929
217	0.1077357404
218	0.1075212614
219	0.1073117025
220	0.1060347552
221	0.1049157872
222	0.1042605614
223	0.1028828225
224	0.1026815808
225	0.1014863554
226	0.1012928171
227	0.1002564444
228	0.09924326393
229	0.09777472504
230	0.09669426265
231	0.0957912383
232	0.09462922287
233	0.09444556197
234	0.09426611932
235	0.09337699478
236	0.09320028558
237	0.09234365583
238	0.09127732378
239	0.09025237849
240	0.08937218279
241	0.08919836191
242	0.08819365712
243	0.08778263098
244	0.08761685089
245	0.08666216784
246	0.08582932814
247	0.08494854621
248	0.08408610456
249	0.08324242842
250	0.08242675681
251	0.08226850053
252	0.08139997559
253	0.08061803575
254	0.07990470612
255	0.0791549287
256	0.07838288231
257	0.07761671477
258	0.07746662828
259	0.07667137274
260	0.07595369781
261	0.07530277108
262	0.07450498384
263	0.07415188397
264	0.07401051133
265	0.07330909546
266	0.07264081127
267	0.07196473849
268	0.07129776938
269	0.07028242111
270	0.06947897932
271	0.0693478656
272	0.0687126332
273	0.06796675244
274	0.06784224684
275	0.06715054385
276	0.06650388431
277	0.06620441593
278	0.06608551383
279	0.0654693721
280	0.0653512442
281	0.06506928584
282	0.06443387065
283	0.06432382739
284	0.06377890714
285	0.06319589652
286	0.06261954486
287	0.06204572146
288	0.06138380536
289	0.06080815997
290	0.06018310706
291	0.05960119205
292	0.05905508254
293	0.05884521041
294	0.0586404603
295	0.05782312316
296	0.0572669066
297	0.05661791836
298	0.05642353367
299	0.05619051755
