iter	RMSE
0	0.6357957268
1	0.6272115732
2	0.6176416156
3	0.6088774561
4	0.5961769379
5	0.5867210684
6	0.578013938
7	0.5680073909
8	0.5579304925
9	0.5496905557
10	0.5410316903
11	0.5334037945
12	0.5256067021
13	0.5178143126
14	0.5104399594
15	0.5031151733
16	0.4948652821
17	0.4889895677
18	0.4824466012
19	0.4772214602
20	0.4712783354
21	0.4658526827
22	0.4600949738
23	0.4541788273
24	0.4485768366
25	0.4417747294
26	0.4375030588
27	0.4308964039
28	0.4259734154
29	0.4212375102
30	0.4158000126
31	0.4113016238
32	0.4086686343
33	0.4037760586
34	0.3990207139
35	0.3949537739
36	0.3899320444
37	0.3865359222
38	0.382258453
39	0.3775888098
40	0.3748696472
41	0.3696230614
42	0.365633061
43	0.3627440639
44	0.359364193
45	0.356229286
46	0.3532779836
47	0.351897923
48	0.349424995
49	0.3476162705
50	0.3432597944
51	0.3394212167
52	0.3374498253
53	0.3330224271
54	0.33008329
55	0.3276939267
56	0.3248256406
57	0.3235187451
58	0.3218258534
59	0.3191980874
60	0.31493448
61	0.3123641621
62	0.3096868364
63	0.3082783547
64	0.3066601563
65	0.3042270901
66	0.302579322
67	0.3003238625
68	0.2990568462
69	0.2960542692
70	0.2943036921
71	0.2918815231
72	0.2884036851
73	0.286720933
74	0.2831609857
75	0.2817154761
76	0.2801432995
77	0.2775718881
78	0.2746720042
79	0.272824948
80	0.2705244191
81	0.2679177171
82	0.2651685845
83	0.2631573884
84	0.2615556202
85	0.2590050021
86	0.2577275523
87	0.2564521678
88	0.2554207407
89	0.2543896233
90	0.2528723608
91	0.2508916062
92	0.2497520032
93	0.2481151676
94	0.2474068714
95	0.2446869579
96	0.2431637286
97	0.2420364763
98	0.238779034
99	0.2363157236
100	0.2351782624
101	0.2337619723
102	0.2315316683
103	0.2287261342
104	0.2264373835
105	0.2251578358
106	0.2238130911
107	0.2227192326
108	0.2215366007
109	0.2201098871
110	0.2193496555
111	0.2185507014
112	0.2160417096
113	0.2135328937
114	0.2125982367
115	0.2117024225
116	0.2106294726
117	0.209064752
118	0.2081900835
119	0.2074665362
120	0.2064203955
121	0.2056538395
122	0.2048319322
123	0.2028381073
124	0.2013029376
125	0.2005129625
126	0.1997400172
127	0.1989837597
128	0.1963831937
129	0.1955165256
130	0.1947971286
131	0.1927788699
132	0.1919599688
133	0.19127588
134	0.1904930201
135	0.1881729984
136	0.1857430594
137	0.1832424303
138	0.1809576103
139	0.1785249859
140	0.1778076928
141	0.1758294226
142	0.1751407803
143	0.1745491694
144	0.1739705229
145	0.1734045785
146	0.1713605508
147	0.1698515037
148	0.1693046986
149	0.1687699387
150	0.1682469793
151	0.1662605691
152	0.1648429881
153	0.162998109
154	0.1610071545
155	0.1604987942
156	0.1600017009
157	0.1595156411
158	0.1577428013
159	0.1572647413
160	0.1557836235
161	0.1553148731
162	0.15485659
163	0.1529666231
164	0.1525186242
165	0.1506488471
166	0.1502142091
167	0.149110065
168	0.1486875969
169	0.14686612
170	0.1464541182
171	0.14527285
172	0.1440974868
173	0.1429721765
174	0.1415943622
175	0.1402752619
176	0.1386199204
177	0.1374536902
178	0.1370572589
179	0.1366696958
180	0.1350538815
181	0.1346752971
182	0.1336120905
183	0.13324178
184	0.1328797726
185	0.1317145045
186	0.1301088659
187	0.1286656669
188	0.1283216278
189	0.1269602247
190	0.1266287635
191	0.1254139441
192	0.1241045193
193	0.1237816296
194	0.1234660121
195	0.1231171184
196	0.121971787
197	0.1207324598
198	0.1203885349
199	0.1200841453
200	0.1197475379
201	0.1187891608
202	0.1184924936
203	0.1181670576
204	0.1178480605
205	0.1168925076
206	0.1165765111
207	0.1154238021
208	0.1142012154
209	0.1130473415
210	0.1127461724
211	0.1124736957
212	0.1108607681
213	0.1098163382
214	0.1095570875
215	0.1093036965
216	0.1090224146
217	0.1087474543
218	0.1077654399
219	0.1066533514
220	0.106383103
221	0.1053176779
222	0.1047995438
223	0.1045699491
224	0.1031903051
225	0.1023247407
226	0.1021023953
227	0.1016271092
228	0.1008121666
229	0.1005174145
230	0.1002811443
231	0.1000509281
232	0.09874372891
233	0.09780381664
234	0.09683217358
235	0.09660155595
236	0.09637683545
237	0.09614854926
238	0.09529075482
239	0.09507161509
240	0.09430582262
241	0.09409151772
242	0.09360790861
243	0.09253163106
244	0.09139681513
245	0.09039289323
246	0.08944391729
247	0.08925746826
248	0.08837759029
249	0.08781672619
250	0.08693811051
251	0.08633001478
252	0.08587224414
253	0.08546654083
254	0.08497081716
255	0.08474045902
256	0.08451652047
257	0.08408019069
258	0.08386145715
259	0.08364880737
260	0.08324138083
261	0.08266608808
262	0.08249525933
263	0.08164931792
264	0.08148203456
265	0.08131857575
266	0.0804578617
267	0.08029758488
268	0.07975685444
269	0.07960112899
270	0.07920839994
271	0.07843156499
272	0.07826440926
273	0.07781987398
274	0.07762828084
275	0.07744215034
276	0.07706994169
277	0.07619509949
278	0.07590845028
279	0.07518585823
280	0.07436418178
281	0.0736780764
282	0.07310263509
283	0.07233454401
284	0.07219601814
285	0.07204908838
286	0.07178399823
287	0.07163934089
288	0.0713829058
289	0.07078748083
290	0.07014973333
291	0.06943465552
292	0.0693067038
293	0.06917093222
294	0.06882895251
295	0.06812438965
296	0.06751781347
297	0.06676842517
298	0.06619508323
299	0.06521990507
