target,feature,coefficient_mean,coefficient_std,abs_coefficient_mean
fluency,flu_speech_rate,0.32876088627583866,0.03671622496870231,0.32876088627583866
fluency,flu_pause_ratio,0.06680985748794513,0.04309717334127202,0.06680985748794513
grammar,gram_error_rate,-0.1869887982741315,0.10122580535253954,0.1869887982741315
grammar,gram_total_errors,0.08961833914354869,0.08253599835838851,0.08961833914354869
grammar,gram_ratio_error,0.011500433432513201,0.0966122285191883,0.07121541770537874
lexical,lex_A1,26100733.60711793,64891065.690062225,50881239.205262534
lexical,lex_B2,15305925.387537276,38599770.66906083,29604156.412407912
lexical,lex_A2,14913297.961176544,35954999.193564996,29037589.952660598
lexical,lex_B1,12914834.38542239,27943825.959776398,22603367.713966645
lexical,lex_C1,4912040.646445918,11046696.146077892,8748755.832823303
lexical,lex_MSTTR,0.4436789663262014,0.0720977789006532,0.4436789663262014
lexical,lex_TTR,-0.3732760626899415,0.06236945374299906,0.3732760626899415
overall,pro_95%-100%,268812699.260809,135005820.47250894,268812699.260809
overall,pro_0%-50%,149312565.10086462,72724468.24888425,149312565.10086462
overall,pro_50%-70%,73539174.35704507,35213481.19327587,73539174.35704507
overall,pro_85%-95%,68740941.98105852,33451887.837212227,68740941.98105852
overall,lex_A1,44967657.91402455,61378643.02907473,67226582.92221911
overall,pro_70%-85%,63111300.7334034,32194337.49014584,63111300.7334034
overall,lex_A2,27643762.947667144,37610251.191771224,40464966.10563566
overall,lex_B2,25841787.072811462,34394526.91582455,38073267.04875074
overall,lex_B1,21353519.310814016,29919909.576825302,31724515.720956605
overall,lex_C1,8272588.041302776,10883777.683418123,11848558.273615092
overall,lex_MSTTR,0.20722566520834879,0.09985391383811155,0.20722566520834879
overall,gram_error_rate,-0.017689225169947007,0.18920617980004983,0.151988370466899
overall,gram_total_errors,0.09577694190075475,0.21825922017832364,0.145925976255166
overall,gram_ratio_error,-0.033851309848626124,0.1392414970712929,0.12213299691358144
overall,flu_pause_ratio,-0.11177060679563736,0.05985291966752463,0.11177060679563736
overall,lex_TTR,-0.09403366037083102,0.02667746561607978,0.09403366037083102
overall,flu_speech_rate,0.05701419710316249,0.025265190663170012,0.05701419710316249
pronunciation,pro_95%-100%,130061770.96286173,60047722.137965694,130061770.96286173
pronunciation,pro_0%-50%,72851286.80456524,33960353.40311571,72851286.80456524
pronunciation,pro_50%-70%,36242707.83459032,17454366.20417191,36242707.83459032
pronunciation,pro_85%-95%,33639225.26411758,16233456.49434295,33639225.26411758
pronunciation,pro_70%-85%,30238145.700188763,13624410.44081898,30238145.700188763
