feature,mean_abs_shap
lex_MSTTR,0.10550193273913662
pro_50%-70%,0.0995878263813847
pro_0%-50%,0.06742937464926321
pro_95%-100%,0.0657694613290104
lex_A1,0.058508413947154524
flu_speech_rate,0.05638640066083196
lex_A2,0.05375493815670793
lex_B2,0.05088177290568221
lex_TTR,0.030497207421597904
pro_70%-85%,0.029213396934165737
pro_85%-95%,0.02533477246233064
flu_pause_ratio,0.025091869710924974
lex_C1,0.022911711483561952
lex_B1,0.012299464441049759
