feature,coefficient,abs_coefficient,target,fold,intercept
flu_speech_rate,0.30129075659533644,0.30129075659533644,fluency,1,6.154761904761905
flu_pause_ratio,0.05129061869242715,0.05129061869242715,fluency,1,6.154761904761905
lex_MSTTR,0.33811639664039,0.33811639664039,lexical,1,6.511904761904763
lexical_advanced,0.21797057153466973,0.21797057153466973,lexical,1,6.511904761904763
pron_bad,-0.2279255802019603,0.2279255802019603,pronunciation,1,6.476190476190476
pron_good,0.17866101040875876,0.17866101040875876,pronunciation,1,6.476190476190476
pron_neutral,0.06698653026400167,0.06698653026400167,pronunciation,1,6.476190476190476
pron_good,0.2489947070541978,0.2489947070541978,overall,1,6.25
lexical_advanced,0.20287695214103021,0.20287695214103021,overall,1,6.25
lex_MSTTR,0.14432385275217036,0.14432385275217036,overall,1,6.25
flu_speech_rate,0.12857351572921485,0.12857351572921485,overall,1,6.25
flu_pause_ratio,-0.09571751054568928,0.09571751054568928,overall,1,6.25
pron_bad,0.03444848508190344,0.03444848508190344,overall,1,6.25
pron_neutral,-0.026323981336096626,0.026323981336096626,overall,1,6.25
flu_speech_rate,0.35094297224408205,0.35094297224408205,fluency,2,6.071428571428571
flu_pause_ratio,0.13358796540139795,0.13358796540139795,fluency,2,6.071428571428571
lex_MSTTR,0.3818942233106355,0.3818942233106355,lexical,2,6.4107142857142865
lexical_advanced,0.23429026696678926,0.23429026696678926,lexical,2,6.4107142857142865
pron_bad,-0.3713971270570561,0.3713971270570561,pronunciation,2,6.458333333333333
pron_good,0.06267208491765403,0.06267208491765403,pronunciation,2,6.458333333333333
pron_neutral,-0.057944376223026915,0.057944376223026915,pronunciation,2,6.458333333333333
lex_MSTTR,0.2253193352465787,0.2253193352465787,overall,2,6.208333333333333
pron_good,0.21535576388897112,0.21535576388897112,overall,2,6.208333333333333
lexical_advanced,0.1603767109439086,0.1603767109439086,overall,2,6.208333333333333
flu_speech_rate,0.12317448659915427,0.12317448659915427,overall,2,6.208333333333333
pron_bad,-0.1096598727304673,0.1096598727304673,overall,2,6.208333333333333
flu_pause_ratio,-0.08037192318463288,0.08037192318463288,overall,2,6.208333333333333
pron_neutral,0.029296908500086538,0.029296908500086538,overall,2,6.208333333333333
flu_speech_rate,0.2797057346755585,0.2797057346755585,fluency,3,6.130952380952381
flu_pause_ratio,0.017387115179754376,0.017387115179754376,fluency,3,6.130952380952381
lex_MSTTR,0.3361011415097076,0.3361011415097076,lexical,3,6.4523809523809526
lexical_advanced,0.11129487078618767,0.11129487078618767,lexical,3,6.4523809523809526
pron_good,0.24155546034846676,0.24155546034846676,pronunciation,3,6.446428571428571
pron_bad,-0.21289062979854503,0.21289062979854503,pronunciation,3,6.446428571428571
pron_neutral,0.11642803798582957,0.11642803798582957,pronunciation,3,6.446428571428571
pron_good,0.22259944960677658,0.22259944960677658,overall,3,6.226190476190476
lex_MSTTR,0.14512878464276358,0.14512878464276358,overall,3,6.226190476190476
pron_bad,-0.11568523028481095,0.11568523028481095,overall,3,6.226190476190476
flu_pause_ratio,-0.07373185081500233,0.07373185081500233,overall,3,6.226190476190476
flu_speech_rate,0.0637137907680781,0.0637137907680781,overall,3,6.226190476190476
lexical_advanced,0.051932709152268934,0.051932709152268934,overall,3,6.226190476190476
pron_neutral,0.0286490578134536,0.0286490578134536,overall,3,6.226190476190476
flu_speech_rate,0.3673926847228542,0.3673926847228542,fluency,4,6.098837209302325
flu_pause_ratio,0.05395425261414045,0.05395425261414045,fluency,4,6.098837209302325
lex_MSTTR,0.2592733958450117,0.2592733958450117,lexical,4,6.430232558139535
lexical_advanced,0.22618899005415846,0.22618899005415846,lexical,4,6.430232558139535
pron_good,0.3007829371747699,0.3007829371747699,pronunciation,4,6.406976744186046
pron_bad,-0.23150422401557247,0.23150422401557247,pronunciation,4,6.406976744186046
pron_neutral,0.13265081780134147,0.13265081780134147,pronunciation,4,6.406976744186046
pron_good,0.2554790559549284,0.2554790559549284,overall,4,6.1976744186046515
flu_pause_ratio,-0.17437256361124695,0.17437256361124695,overall,4,6.1976744186046515
lexical_advanced,0.16515415682347576,0.16515415682347576,overall,4,6.1976744186046515
flu_speech_rate,0.1445012829451034,0.1445012829451034,overall,4,6.1976744186046515
lex_MSTTR,0.1280398050521436,0.1280398050521436,overall,4,6.1976744186046515
pron_neutral,-0.09022395496067936,0.09022395496067936,overall,4,6.1976744186046515
pron_bad,-0.012974436323485924,0.012974436323485924,overall,4,6.1976744186046515
flu_speech_rate,0.34447228314136213,0.34447228314136213,fluency,5,6.063953488372093
flu_pause_ratio,0.0778293355520057,0.0778293355520057,fluency,5,6.063953488372093
lex_MSTTR,0.2915827977911634,0.2915827977911634,lexical,5,6.366279069767442
lexical_advanced,0.21559397616757583,0.21559397616757583,lexical,5,6.366279069767442
pron_bad,-0.33106239811015403,0.33106239811015403,pronunciation,5,6.3604651162790695
pron_good,0.06473066778557737,0.06473066778557737,pronunciation,5,6.3604651162790695
pron_neutral,-0.010754011835395875,0.010754011835395875,pronunciation,5,6.3604651162790695
pron_good,0.3282646835718256,0.3282646835718256,overall,5,6.156976744186046
lex_MSTTR,0.16585112889677445,0.16585112889677445,overall,5,6.156976744186046
lexical_advanced,0.14037952224161804,0.14037952224161804,overall,5,6.156976744186046
flu_pause_ratio,-0.11844915337207551,0.11844915337207551,overall,5,6.156976744186046
flu_speech_rate,0.08742739249652871,0.08742739249652871,overall,5,6.156976744186046
pron_neutral,0.036264979846462236,0.036264979846462236,overall,5,6.156976744186046
pron_bad,-0.019297937677109633,0.019297937677109633,overall,5,6.156976744186046
