target,num_rows,num_features,features,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,QWK_mean,QWK_std
fluency,53,2,"flu_speech_rate, flu_pause_ratio",0.48680526433318017,0.06234344664391791,0.6127065623867646,0.083611209860125,0.08970799980035012,0.1787076942204075,0.19523852632610006,0.14228670311098113
lexical,53,2,"lex_MSTTR, lexical_advanced",0.48513807009499743,0.11148663794790183,0.6132542600225878,0.12107673011583446,0.20250258675398172,0.3729589003477188,0.44879603561174425,0.23174325920843583
pronunciation,53,3,"pron_bad, pron_good, pron_neural",0.43718478146123807,0.12003083887546814,0.5217067675887962,0.13741386204478934,0.12796757782833376,0.3646646565889632,0.3611625362446441,0.28965824419493635
grammar,53,3,"gram_ratio_error, gram_total_errors, gram_error_rate",0.6301074556746229,0.14107780164898973,0.7968485562578448,0.16490780134433305,-0.20432238552640855,0.16021836767501751,-0.02050601489592683,0.04914178536061019
