target,num_rows,num_features,features,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,QWK_mean,QWK_std
fluency,53,2,"flu_speech_rate, flu_pause_ratio",0.5343404018998739,0.07617841144379321,0.6477575111280068,0.06966209949092769,-0.03974636366078159,0.2788864768806729,0.2940575044000006,0.20748497260645776
lexical,53,7,"lex_TTR, lex_MSTTR, lex_A1, lex_A2, lex_B1, lex_B2, lex_C1",0.45757292180467257,0.10423672928273449,0.5888394373007195,0.0886679282535728,0.3111551375220042,0.14451329559720003,0.5410500442059332,0.12648852861176063
pronunciation,53,5,"pro_0%-50%, pro_50%-70%, pro_70%-85%, pro_85%-95%, pro_95%-100%",0.5396637281613228,0.1262614587386399,0.6518325103866863,0.15201906281661828,-0.3852532111468045,0.6057786528714516,0.15186087654481298,0.29422710510044386
overall,53,14,"flu_speech_rate, flu_pause_ratio, lex_TTR, lex_MSTTR, lex_A1, lex_A2, lex_B1, lex_B2, lex_C1, pro_0%-50%, pro_50%-70%, pro_70%-85%, pro_85%-95%, pro_95%-100%",0.39874620968177615,0.056933313043656904,0.5068326450849368,0.08762366837528007,0.2701417435699079,0.19812770578713648,0.4672145105160112,0.17834179044521686
